id,object_name,object_id,start_time,end_time,duration
eztv.re,picture frame,0b94c794,1134.258,1142.141,7.882875000000013
eztv.re,person,11a6c87c,1414.038,1421.795,7.757749999999987
eztv.re,person,cc2125a9,1338.963,1346.595,7.632625000000189
eztv.re,outerwear,a1419cd9,1338.963,1346.595,7.632625000000189
eztv.re,outerwear,9c4e99fb,1405.279,1412.911,7.632624999999962
eztv.re,person,dcf20c49,1470.969,1478.477,7.507500000000164
eztv.re,pants,15b53a57,1916.790,1924.297,7.507500000000164
eztv.re,person,ac1b8b86,581.831,589.339,7.50750000000005
eztv.re,person,3886217c,581.831,589.339,7.50750000000005
eztv.re,person,84e6d73d,247.622,255.130,7.507499999999993
eztv.re,person,03bebe08,235.986,243.493,7.507499999999993
eztv.re,person,6b407f51,933.683,941.190,7.507499999999936
eztv.re,person,7ffa2d86,618.993,626.501,7.507499999999936
eztv.re,person,2c2ce3ef,618.993,626.501,7.507499999999936
eztv.re,pants,c6f28db9,1900.273,1907.781,7.507499999999936
eztv.re,person,3621b6df,618.993,626.501,7.507499999999936
eztv.re,coat,f3182fd4,618.993,626.501,7.507499999999936
eztv.re,outerwear,99a5b9a4,933.683,941.190,7.507499999999936
eztv.re,person,5b373227,933.683,941.190,7.507499999999936
eztv.re,person,24788ef3,2463.086,2470.593,7.507499999999709
eztv.re,furniture,51e457c5,1125.750,1133.132,7.382375000000138
eztv.re,person,5a8f5866,1416.290,1423.672,7.382375000000138
eztv.re,outerwear,b45160f6,933.808,941.190,7.382375000000025
eztv.re,person,514cbe04,630.630,638.012,7.382375000000025
eztv.re,car,81afbfad,618.993,626.376,7.382375000000025
eztv.re,person,5deac480,646.771,654.154,7.382375000000025
eztv.re,outerwear,dc85df4e,646.771,654.154,7.382375000000025
eztv.re,jacket,38a70177,247.748,255.130,7.382374999999996
eztv.re,person,e0dd33d4,435.810,443.193,7.382374999999968
eztv.re,person,23cbd6d3,1177.551,1184.934,7.382374999999911
eztv.re,table top,624bd9d3,1255.880,1263.262,7.382374999999911
eztv.re,tableware,2a6b4857,1256.005,1263.387,7.382374999999911
eztv.re,tie,4e9f0d56,1177.551,1184.934,7.382374999999911
eztv.re,clothing,2ec4a52f,1135.134,1142.516,7.382374999999911
eztv.re,outerwear,a9a80d3f,1177.551,1184.934,7.382374999999911
eztv.re,jacket,2307c78e,2478.476,2485.858,7.3823749999996835
eztv.re,person,ec14f643,1414.163,1421.420,7.257250000000113
eztv.re,outerwear,349a7a4f,1293.167,1300.424,7.257250000000113
eztv.re,person,433f1732,1293.167,1300.424,7.257250000000113
eztv.re,jacket,5a1ac36b,1471.095,1478.352,7.257250000000113
eztv.re,lamp,0d80111c,1293.167,1300.424,7.257250000000113
eztv.re,person,8835e0a4,101.351,108.609,7.257250000000013
eztv.re,clothing,455de5af,101.351,108.609,7.257250000000013
eztv.re,outerwear,38a487dd,435.810,443.068,7.257249999999999
eztv.re,clothing,22cbeb71,2543.416,2550.673,7.257249999999658
eztv.re,furniture,76301f95,1129.879,1137.011,7.13212499999986
eztv.re,glasses,7c58781b,2463.586,2470.593,7.007000000000062
eztv.re,shirt,cdc5a000,1508.382,1515.389,7.007000000000062
eztv.re,suit,852b8fbd,1508.382,1515.389,7.007000000000062
eztv.re,person,e9741859,1389.263,1396.270,7.007000000000062
eztv.re,person,9ffaed60,1508.382,1515.389,7.007000000000062
eztv.re,person,98b0337e,1463.837,1470.844,7.0069999999998345
eztv.re,person,9f43a35b,1463.837,1470.844,7.0069999999998345
eztv.re,glasses,2951056f,1463.837,1470.844,7.0069999999998345
eztv.re,person,5dde52eb,1622.871,1629.753,6.881875000000036
eztv.re,dress,8e1bbbbf,1622.871,1629.753,6.881875000000036
eztv.re,person,e29bdbf0,1622.871,1629.753,6.881875000000036
eztv.re,person,3f8295d9,1796.795,1803.677,6.881875000000036
eztv.re,window,ab5d323a,464.464,471.346,6.8818749999999795
eztv.re,dress,d8fa6044,2329.327,2336.209,6.881874999999582
eztv.re,building,0d05f0c2,618.993,625.750,6.756750000000011
eztv.re,person,671099d5,1763.387,1770.143,6.756750000000011
eztv.re,pants,d9e4afd1,1309.809,1316.565,6.756750000000011
eztv.re,person,188e8c27,1763.387,1770.143,6.756750000000011
eztv.re,person,c162c1ac,1763.387,1770.143,6.756750000000011
eztv.re,coat,7e0c3279,1763.387,1770.143,6.756750000000011
eztv.re,person,76514cd6,1763.387,1770.143,6.756750000000011
eztv.re,dress,87279c9f,1763.387,1770.143,6.756750000000011
eztv.re,pants,c0d1c4f0,1763.387,1770.143,6.756750000000011
eztv.re,coat,8ee3a729,213.463,220.220,6.756750000000011
eztv.re,person,59b63594,172.798,179.554,6.7567499999999825
eztv.re,person,884c3523,172.798,179.554,6.7567499999999825
eztv.re,jacket,eb01e576,172.798,179.554,6.7567499999999825
eztv.re,fedora,49855cf0,172.798,179.554,6.7567499999999825
eztv.re,clothing,0370a2be,172.798,179.554,6.7567499999999825
eztv.re,coat,4cfe95cd,670.545,677.302,6.756749999999897
eztv.re,person,b67fc552,670.545,677.302,6.756749999999897
eztv.re,person,269467b5,670.545,677.302,6.756749999999897
eztv.re,person,f1e905ce,2329.577,2336.209,6.6316249999999854
eztv.re,person,2120b7ef,2329.577,2336.209,6.6316249999999854
eztv.re,tie,759e8b85,269.769,276.401,6.6316249999999854
eztv.re,person,d5cb4b83,2329.577,2336.209,6.6316249999999854
eztv.re,coat,0975b258,269.769,276.401,6.6316249999999854
eztv.re,hat,3c9fd79f,2528.276,2534.782,6.506500000000415
eztv.re,person,2bcfdd21,2155.653,2162.160,6.50649999999996
eztv.re,person,b494b291,2624.247,2630.753,6.50649999999996
eztv.re,person,eb3a8963,1389.763,1396.270,6.50649999999996
eztv.re,glasses,c3ffac81,933.683,940.189,6.50649999999996
eztv.re,person,44933434,269.895,276.401,6.50649999999996
eztv.re,tableware,d4f6758a,1372.746,1379.128,6.381375000000162
eztv.re,person,d4034984,1372.746,1379.128,6.381375000000162
eztv.re,glasses,877d4eac,934.809,941.190,6.381375000000048
eztv.re,hat,bf26f709,2542.665,2549.046,6.3813749999999345
eztv.re,clothing,0172c9bb,1389.889,1396.270,6.3813749999999345
eztv.re,person,77e38a01,2268.391,2274.773,6.3813749999999345
eztv.re,dress,75c1e156,2268.391,2274.773,6.3813749999999345
eztv.re,person,9e93cef7,1463.837,1470.219,6.3813749999999345
eztv.re,person,792fa613,2268.391,2274.773,6.3813749999999345
eztv.re,jewellery,4ec1b555,2268.391,2274.773,6.3813749999999345
eztv.re,glasses,c94df7b2,2322.946,2329.202,6.256250000000364
eztv.re,clothing,27ab1b58,1310.309,1316.565,6.256250000000136
eztv.re,person,83edd67c,1763.512,1769.768,6.256250000000136
eztv.re,house,6bd5f218,429.054,435.310,6.256249999999966
eztv.re,person,1b558d61,2111.234,2117.490,6.256249999999909
eztv.re,person,64b40daf,2111.234,2117.490,6.256249999999909
eztv.re,tie,ba95acf4,2111.234,2117.490,6.256249999999909
eztv.re,table top,e54f555b,2111.234,2117.490,6.256249999999909
eztv.re,hat,86598647,2155.779,2162.035,6.256249999999909
eztv.re,person,2fdbe91f,1485.609,1491.740,6.131125000000111
eztv.re,outerwear,4e8865f6,1310.434,1316.565,6.131125000000111
eztv.re,outerwear,3bba3da7,1248.873,1255.004,6.131125000000111
eztv.re,clothing,41e40213,1485.609,1491.740,6.131125000000111
eztv.re,furniture,9f73ccfc,152.653,158.784,6.131124999999997
eztv.re,tie,515033bc,935.059,941.190,6.131124999999997
eztv.re,clothing,88bc5bc7,2028.151,2034.282,6.131124999999884
eztv.re,person,4acb4a86,2323.196,2329.202,6.006000000000313
eztv.re,coat,61ec174e,1819.568,1825.574,6.0060000000000855
eztv.re,person,e7eb98a0,526.526,532.532,6.0060000000000855
eztv.re,person,308fcbb0,1712.461,1718.467,6.0060000000000855
eztv.re,person,1a9959ef,2020.644,2026.650,6.0060000000000855
eztv.re,suit,b242645f,1485.734,1491.740,6.0060000000000855
eztv.re,person,128c3c27,1712.461,1718.467,6.0060000000000855
eztv.re,scarf,c7a0400f,526.526,532.532,6.0060000000000855
eztv.re,clothing,9b8cb928,1712.461,1718.467,6.0060000000000855
eztv.re,clothing,b6055883,2028.526,2034.533,6.0060000000000855
eztv.re,tie,0e7ebf87,526.526,532.532,6.0060000000000855
eztv.re,plate,8681e797,1712.461,1718.467,6.0060000000000855
eztv.re,person,2576cbe5,1712.461,1718.467,6.0060000000000855
eztv.re,tableware,154e7846,1372.746,1378.752,6.0060000000000855
eztv.re,table top,d8f09650,1712.461,1718.467,6.0060000000000855
eztv.re,person,b05a6a1d,1485.734,1491.740,6.0060000000000855
eztv.re,furniture,8575c01e,798.798,804.804,6.005999999999972
eztv.re,person,76e8388b,798.798,804.804,6.005999999999972
eztv.re,window,bc394af7,465.590,471.596,6.005999999999972
eztv.re,tie,5507c47a,798.798,804.804,6.005999999999972
eztv.re,outerwear,64ca3080,798.798,804.804,6.005999999999972
eztv.re,coat,7dad1993,2129.502,2135.508,6.005999999999858
eztv.re,person,73748951,1390.264,1396.270,6.005999999999858
eztv.re,person,29348a78,1103.978,1109.984,6.005999999999858
eztv.re,person,03cb1532,2081.830,2087.711,5.880875000000287
eztv.re,display device,9a55c55b,2977.725,2983.606,5.880875000000287
eztv.re,coat,97f685f6,512.637,518.518,5.88087500000006
eztv.re,person,1c41f643,1852.351,1858.231,5.88087500000006
eztv.re,glasses,f29e8573,1605.479,1611.360,5.88087500000006
eztv.re,tie,fe62d49d,512.637,518.518,5.88087500000006
eztv.re,top,f60c2c6f,1852.351,1858.231,5.88087500000006
eztv.re,person,5d215e24,1852.351,1858.231,5.88087500000006
eztv.re,sweater,8eb1b341,1852.351,1858.231,5.88087500000006
eztv.re,table,7e5d3f1f,1373.247,1379.128,5.88087500000006
eztv.re,person,67beed87,512.637,518.518,5.88087500000006
eztv.re,person,f260c68b,1852.351,1858.231,5.88087500000006
eztv.re,person,a09f26ef,1781.905,1787.786,5.88087500000006
eztv.re,person,c808b92b,1605.479,1611.360,5.88087500000006
eztv.re,person,1a3cfd87,1440.314,1446.195,5.88087500000006
eztv.re,outerwear,0fbaa8f8,164.414,170.295,5.880875000000003
eztv.re,fedora,ee2a1c15,164.414,170.295,5.880875000000003
eztv.re,person,a7cf7c87,164.414,170.295,5.880875000000003
eztv.re,scarf,1cf97883,671.421,677.302,5.880874999999946
eztv.re,person,eb0bb6bf,1781.154,1787.035,5.880874999999833
eztv.re,dress,a6abe102,2329.327,2335.208,5.880874999999833
eztv.re,person,6c61b2a0,1381.380,1387.261,5.880874999999833
eztv.re,outerwear,25a3e05e,1399.273,1405.154,5.880874999999833
eztv.re,person,a34aa431,2072.070,2077.951,5.880874999999833
eztv.re,display device,5790cd67,2901.148,2907.029,5.880874999999833
eztv.re,t-shirt,c8266bc7,1381.380,1387.261,5.880874999999833
eztv.re,clothing,32a6820c,2329.327,2335.208,5.880874999999833
eztv.re,glasses,674b0318,2190.563,2196.444,5.880874999999833
eztv.re,coat,13e98d17,2479.477,2485.233,5.755750000000262
eztv.re,person,f47ff534,476.726,482.482,5.755750000000035
eztv.re,coat,f15c3122,476.726,482.482,5.755750000000035
eztv.re,tableware,e2b2ff4c,1381.505,1387.261,5.755750000000035
eztv.re,coat,e4e9f92a,630.755,636.511,5.755750000000035
eztv.re,clothing,26406ff5,2028.777,2034.533,5.755750000000035
eztv.re,dress,38665c92,618.993,624.749,5.755750000000035
eztv.re,person,fff4cbbc,1437.811,1443.567,5.755750000000035
eztv.re,glove,6af91625,42.668,48.423,5.755749999999999
eztv.re,person,06018abc,2190.689,2196.444,5.755749999999807
eztv.re,clothing,b601c31c,2258.256,2263.887,5.6306250000002365
eztv.re,person,655c5864,2258.256,2263.887,5.6306250000002365
eztv.re,person,274e86f4,2258.256,2263.887,5.6306250000002365
eztv.re,dress,d34c59c5,2258.256,2263.887,5.6306250000002365
eztv.re,tie,a3108fdd,893.267,898.898,5.630625000000009
eztv.re,clothing,604140ca,799.173,804.804,5.630625000000009
eztv.re,clothing,03365ed8,1943.817,1949.447,5.630625000000009
eztv.re,person,db85487f,214.589,220.220,5.630625000000009
eztv.re,person,d262cf4b,1154.779,1160.409,5.630625000000009
eztv.re,person,165be09c,799.173,804.804,5.630625000000009
eztv.re,printer,fa895ede,94.094,99.725,5.630625000000009
eztv.re,person,32a03053,1412.411,1418.042,5.630625000000009
eztv.re,person,686136dc,893.267,898.898,5.630625000000009
eztv.re,person,1ae387f6,2372.996,2378.626,5.630624999999782
eztv.re,person,79b38d00,2111.860,2117.490,5.630624999999782
eztv.re,clothing,e620073b,2329.327,2334.958,5.630624999999782
eztv.re,dress,78c4a071,1437.311,1442.816,5.505500000000211
eztv.re,person,8362f16d,1420.544,1426.050,5.505500000000211
eztv.re,jewellery,595a957a,2258.256,2263.762,5.505500000000211
eztv.re,suit,69136425,2111.359,2116.865,5.505500000000211
eztv.re,necklace,037eb841,2276.649,2282.155,5.505500000000211
eztv.re,person,d697819e,2070.944,2076.449,5.505500000000211
eztv.re,person,bcf9ff61,2276.649,2282.155,5.505500000000211
eztv.re,person,7db1f52d,359.359,364.865,5.5055000000000405
eztv.re,dress,209cf155,359.359,364.865,5.5055000000000405
eztv.re,lighting,9eac50ca,359.359,364.865,5.5055000000000405
eztv.re,vase,bf2eae74,359.359,364.865,5.5055000000000405
eztv.re,clothing,b70f9a0d,1917.290,1922.796,5.505499999999984
eztv.re,furniture,6d4f60ac,1137.011,1142.516,5.505499999999984
eztv.re,clothing,2f281cc4,1712.961,1718.467,5.505499999999984
eztv.re,person,8fed7378,1712.461,1717.966,5.505499999999984
eztv.re,pants,8d2db024,1852.726,1858.231,5.505499999999984
eztv.re,lighting,8f31b82c,728.478,733.983,5.505499999999984
eztv.re,person,8a07947f,728.478,733.983,5.505499999999984
eztv.re,coat,c322089d,728.478,733.983,5.505499999999984
eztv.re,jewellery,d6d3e3c8,2269.017,2274.397,5.3803750000001855
eztv.re,wheel,968920ff,842.216,847.597,5.380375000000072
eztv.re,tie,ff1849a6,842.216,847.597,5.380375000000072
eztv.re,wheel,871bc2b6,842.216,847.597,5.380375000000072
eztv.re,building,13081e86,771.145,776.526,5.380375000000072
eztv.re,coat,6b3e378e,893.518,898.898,5.380375000000072
eztv.re,person,523840ab,842.216,847.597,5.380375000000072
eztv.re,houseplant,25e41efa,359.359,364.739,5.380375000000015
eztv.re,house,5c808aaa,10.886,16.266,5.380374999999999
eztv.re,animal,a875ca78,248.749,254.129,5.380374999999987
eztv.re,person,e77a6255,1399.773,1405.154,5.380374999999958
eztv.re,furniture,78e09d46,728.603,733.983,5.380374999999958
